City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Nisia Floresta,BR,77.38,few clouds,-6.0911,-35.2086,Rancho Crepusculo
383,Sabha,LY,80.76,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
385,Russell,US,85.15,few clouds,32.3502,-85.1999,Macs
388,San Patricio,US,87.75,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
389,Damietta,EG,69.66,clear sky,31.4165,31.8133,SULIMAN INN
390,Balod,IN,85.33,overcast clouds,20.73,81.2047,CJM Bunglow
393,Upata,VE,80.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
394,Chhuikhadan,IN,85.08,broken clouds,21.5333,80.9833,All Day Library
395,Kahului,US,81.66,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
398,Port-Gentil,GA,80.56,moderate rain,-0.7193,8.7815,Fengshui Residence
399,Banyo,CM,67.06,scattered clouds,6.75,11.8167,Motel JOMBA
401,Huntington Beach,US,76.73,few clouds,33.6603,-117.9992,Kimpton Shorebreak Huntington Beach Resort
405,Sola,VU,80.55,overcast clouds,-13.8833,167.55,Leumerus Bungalows
406,Ca Mau,VN,76.8,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
407,Srandakan,ID,77.76,broken clouds,-7.9386,110.2506,Puri Brata
410,Sturgis,US,84.24,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
411,Impfondo,CG,72.73,light rain,1.6381,18.0667,Préfecture de la Likouala
412,Tautira,PF,86.02,few clouds,-17.7333,-149.15,Pension Oaoa
414,Izazi,TZ,65.89,clear sky,-7.2,35.7333,
415,Gasa,PS,68.18,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
418,Eyl,SO,80.64,overcast clouds,7.9803,49.8164,Amiin Hotel
421,Shimoda,JP,67.15,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
422,Kongolo,CD,71.26,scattered clouds,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
423,Hervey Bay,AU,68.11,broken clouds,-25.2986,152.8535,Shelly Bay Resort
425,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
429,Badarpur,IN,76.98,few clouds,24.9,92.6,Rejauls home
430,Jvari,GE,68.25,broken clouds,42.7169,42.052,Savanna House
431,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
432,Sao Joao Da Barra,BR,72.9,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
433,Micheweni,TZ,77.59,clear sky,-4.9667,39.8333,
437,Xiaoweizhai,CN,66.67,overcast clouds,26.1903,107.5125,Karst Youth Hostel
438,Pisco,PE,68.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
439,Ashland,US,84.74,overcast clouds,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
