,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,Superior,US,46.7208,-92.1041,80.28,74,90,9.22,overcast clouds
346,Pitea,SE,65.3172,21.4794,38.08,92,100,11.18,light rain
347,Fortuna,US,40.5982,-124.1573,70.41,67,1,4.0,clear sky
348,Saint-Pierre,RE,-21.3393,55.4781,73.08,69,90,11.5,overcast clouds
349,Soe,ID,-9.8607,124.284,61.75,89,19,3.6,few clouds
350,Labytnangi,RU,66.6572,66.4183,60.85,70,96,10.65,light rain
351,Touros,BR,-5.1989,-35.4608,85.1,67,7,15.52,clear sky
352,Praya,CV,14.9215,-23.5087,79.34,57,0,11.5,clear sky
353,Nakhodka,RU,42.8333,132.8947,49.77,91,0,1.81,clear sky
354,Thohoyandou,ZA,-22.9456,30.485,60.55,80,98,6.8,light rain
355,Elko,US,41.0002,-115.5012,44.62,77,76,3.0,broken clouds
356,Half Moon Bay,US,37.4636,-122.4286,74.62,77,20,9.22,few clouds
357,Alta Floresta,BR,-9.8756,-56.0861,91.22,62,40,8.05,scattered clouds
358,Vypolzovo,RU,57.8767,33.6986,50.49,96,97,6.02,light rain
359,Santa Isabel,BR,-23.3156,-46.2214,71.17,64,100,10.29,light rain
360,Rocha,UY,-34.4833,-54.3333,54.25,88,100,15.75,moderate rain
361,Teya,RU,60.3778,92.6267,43.02,86,100,8.14,overcast clouds
362,Mango,US,27.9797,-82.3065,89.89,45,40,8.99,scattered clouds
363,Sakaiminato,JP,35.55,133.2333,60.78,82,20,9.22,few clouds
364,Sioux Lookout,CA,50.1001,-91.917,59.38,100,90,9.22,overcast clouds
365,Knysna,ZA,-34.0363,23.0471,50.38,73,11,5.1,few clouds
366,Ribeira Grande,PT,38.5167,-28.7,63.0,55,40,10.36,scattered clouds
367,Port Elizabeth,ZA,-33.918,25.5701,56.1,81,20,1.14,few clouds
368,Kokopo,PG,-4.352,152.2633,77.18,87,100,4.9,light rain
369,Tuatapere,NZ,-46.1333,167.6833,41.38,90,2,4.36,clear sky
370,Chipoka,MW,-13.9933,34.5157,74.12,54,63,10.56,broken clouds
371,Kostino,RU,58.9097,53.2691,51.64,95,4,6.26,clear sky
372,Talnakh,RU,69.4865,88.3972,34.93,93,99,9.89,overcast clouds
373,Nuuk,GL,64.1835,-51.7216,30.81,80,75,13.8,broken clouds
374,Severodvinsk,RU,64.5635,39.8302,46.51,84,100,14.38,overcast clouds
375,Taltal,CL,-25.4,-70.4833,67.6,58,12,3.53,few clouds
376,Suntar,RU,62.1444,117.6319,37.22,59,83,2.35,broken clouds
377,Jiaozhou,CN,36.2839,120.0033,66.16,71,100,8.63,light rain
378,Biak,ID,-0.9131,122.8766,75.85,87,100,4.23,overcast clouds
379,Prieska,ZA,-29.6641,22.7474,52.79,34,0,5.41,clear sky
380,Sinnamary,GF,5.3833,-52.95,80.04,86,96,12.03,moderate rain
381,Akdepe,TM,42.0551,59.3788,77.09,13,0,14.05,clear sky
382,San Patricio,US,28.017,-97.5169,85.05,68,100,13.31,overcast clouds
383,Brownsville,US,25.9018,-97.4975,88.02,62,40,5.99,scattered clouds
384,Kota Kinabalu,MY,5.9749,116.0724,76.98,94,20,8.05,few clouds
385,Gushikawa,JP,26.3544,127.8686,78.03,91,75,7.83,broken clouds
386,San Rafael,AR,-34.6177,-68.3301,58.3,26,0,3.18,clear sky
387,Villarrica,PY,-25.75,-56.4333,66.36,51,99,6.31,overcast clouds
388,Abha,SA,18.2164,42.5053,69.62,56,0,4.7,clear sky
389,Inhambane,MZ,-23.865,35.3833,71.58,78,40,4.61,scattered clouds
390,Jieshi,CN,22.8134,115.8257,81.16,90,100,4.56,overcast clouds
391,Meulaboh,ID,4.1363,96.1285,77.59,88,100,4.0,overcast clouds
392,Matadi,CD,-5.8167,13.45,80.44,76,100,7.07,overcast clouds
393,Moussoro,TD,13.6408,16.4901,95.41,10,0,10.04,clear sky
394,Labuhan,ID,-6.8844,112.2051,77.58,87,14,4.94,few clouds
395,Lubango,AO,-14.9172,13.4925,62.15,35,11,3.02,few clouds
396,Cortez,US,37.3489,-108.5859,75.52,23,40,14.97,scattered clouds
397,Valentin Gomez Farias,MX,28.2167,-106.5833,88.57,17,13,8.48,few clouds
398,Umm Kaddadah,SD,13.6017,26.6876,89.49,9,5,15.55,clear sky
399,Looc,PH,12.2605,121.9926,80.46,78,15,1.41,few clouds
400,Broome,US,42.2506,-75.833,82.78,54,75,4.0,broken clouds
401,Cavalcante,BR,-13.7975,-47.4583,86.36,33,44,3.31,scattered clouds
402,Lensk,RU,60.7253,114.9278,38.34,52,11,0.69,few clouds
403,Aswan,EG,24.0934,32.907,87.28,17,0,17.92,clear sky
404,West Wendover,US,40.7391,-114.0733,54.61,24,1,9.22,clear sky
405,Tual,ID,-5.6667,132.75,81.27,79,100,13.11,overcast clouds
406,San Cristobal,VE,7.7669,-72.225,80.78,74,97,6.08,overcast clouds
407,Puerto Quijarro,BO,-17.7833,-57.7667,89.46,49,100,8.14,heavy intensity rain
408,Watertown,US,42.3709,-71.1828,91.58,44,1,1.99,clear sky
409,Sochi,RU,43.6,39.7303,60.89,94,100,7.52,moderate rain
410,Raga,SS,8.4596,25.678,83.93,34,10,4.54,clear sky
411,Gimli,CA,50.6336,-96.9907,47.43,81,100,14.97,overcast clouds
412,Capilla De Guadalupe,MX,20.8333,-102.5833,82.49,15,0,7.47,clear sky
413,Roblin,CA,51.23,-101.3565,36.99,97,100,6.06,overcast clouds
414,Westport,US,41.1415,-73.3579,91.18,47,100,8.16,overcast clouds
415,Calabozo,VE,8.9242,-67.4293,97.61,30,36,8.5,scattered clouds
416,Flinders,AU,-34.5833,150.8552,54.21,88,0,1.01,clear sky
417,San Vicente,AR,-26.6167,-54.1333,58.96,79,100,3.53,overcast clouds
418,Pahrump,US,36.2083,-115.9839,64.51,26,73,4.0,broken clouds
419,Asahikawa,JP,43.7678,142.3703,54.09,88,100,1.28,overcast clouds
420,Turukhansk,RU,65.8167,87.9833,38.12,99,100,9.69,overcast clouds
421,Bowen,AU,-20.0167,148.2333,66.42,88,97,10.36,overcast clouds
422,Esil,KZ,51.9556,66.4042,70.75,33,14,9.1,few clouds
423,Mackay,AU,-21.15,149.2,69.67,94,75,9.22,broken clouds
424,Smiltene,LV,57.4244,25.9016,53.8,88,100,4.34,overcast clouds
425,Armizonskoye,RU,55.9461,67.6736,67.33,56,94,5.32,overcast clouds
426,Tocopilla,CL,-22.092,-70.1979,68.45,71,19,4.38,few clouds
427,Stara Zagora,BG,42.4328,25.6419,67.39,82,8,1.14,clear sky
428,Flin Flon,CA,54.7682,-101.865,48.04,50,1,4.81,clear sky
429,Santa Cruz,BO,-17.8,-63.1667,68.05,73,90,11.5,light rain
430,Paamiut,GL,61.994,-49.6678,32.29,57,27,8.88,scattered clouds
431,Japaratuba,BR,-10.5933,-36.9403,81.68,74,57,7.65,broken clouds
432,Lundazi,ZM,-12.2929,33.1782,60.87,58,51,7.07,broken clouds
433,Aplahoue,BJ,6.9333,1.6833,79.93,79,100,10.36,overcast clouds
434,Namatanai,PG,-3.6667,152.4333,79.29,85,100,4.61,moderate rain
435,Noormarkku,FI,61.5927,21.8685,46.18,81,0,3.96,clear sky
436,Palestina,PS,31.9216,35.2033,62.35,77,46,12.66,scattered clouds
437,Rabaul,PG,-4.1967,152.1721,79.77,81,100,4.83,light rain
438,Tongliao,CN,43.6125,122.2653,72.45,31,100,17.58,light rain
439,Kahului,US,20.8947,-156.47,78.06,72,20,13.8,few clouds
440,Villefontaine,FR,45.6125,5.1456,63.77,88,75,7.63,broken clouds
441,Davila,PH,18.4726,120.5763,78.78,77,100,3.04,overcast clouds
442,Barcelos,PT,41.5388,-8.6151,61.92,61,2,9.57,clear sky
443,Sugbongcogon,PH,8.9553,124.7853,75.7,77,14,2.46,few clouds
444,Aklavik,CA,68.2191,-135.0107,58.03,50,40,6.91,scattered clouds
445,Marrakesh,MA,31.6315,-8.0083,89.67,29,75,9.22,broken clouds
446,Toms River,US,39.9537,-74.1979,91.81,29,1,12.66,clear sky
447,Marsh Harbour,BS,26.5412,-77.0636,75.94,60,0,18.52,clear sky
448,Dwarka,IN,22.2394,68.9678,85.6,67,78,17.56,broken clouds
449,Wad Madani,SD,14.4012,33.5199,96.33,8,2,11.18,clear sky
450,Todos Santos,MX,23.45,-110.2167,95.31,52,56,8.03,broken clouds
451,Kurilsk,RU,45.2333,147.8833,44.96,96,91,6.96,overcast clouds
452,Bundaberg,AU,-24.85,152.35,65.21,94,72,1.99,broken clouds
453,Ajdabiya,LY,30.7554,20.2263,70.21,57,0,9.62,clear sky
454,Tazovskiy,RU,67.4667,78.7,39.31,90,61,14.05,broken clouds
455,Grindavik,IS,63.8424,-22.4338,44.56,65,75,14.0,light rain
456,Yenagoa,NG,4.9247,6.2642,74.79,92,100,5.68,overcast clouds
457,Wajima,JP,37.4,136.9,59.9,92,76,15.64,broken clouds
458,Mbini,GQ,1.574,9.6134,80.44,94,100,6.31,moderate rain
459,La Ronge,CA,55.1001,-105.2842,53.82,32,1,5.75,clear sky
460,Xalpatlahuac,MX,17.4667,-98.6167,84.09,27,4,4.45,clear sky
461,Goundam,ML,16.4145,-3.6708,99.99,15,19,5.88,few clouds
462,Itoman,JP,26.1247,127.6694,78.82,94,75,4.61,broken clouds
463,Rundu,NA,-17.9333,19.7667,63.21,34,5,7.0,clear sky
464,Yecla,ES,38.6137,-1.1147,65.19,61,26,6.17,scattered clouds
465,Dankov,RU,53.2515,39.1555,57.34,67,62,4.97,broken clouds
466,Hobyo,SO,5.3505,48.5268,79.3,82,83,24.05,broken clouds
467,Mondovi,IT,44.396,7.8176,63.91,74,100,1.74,overcast clouds
468,Evensk,RU,61.95,159.2333,35.56,75,14,5.08,few clouds
469,Soure,BR,-0.7167,-48.5233,83.41,75,36,11.5,scattered clouds
470,Kemijarvi,FI,66.7131,27.4306,32.09,87,100,12.88,overcast clouds
471,Montlucon,FR,46.3333,2.6,50.11,93,100,1.99,overcast clouds
472,Port-Gentil,GA,-0.7193,8.7815,78.76,100,40,2.3,light rain
473,Yendi,GH,9.4427,-0.0099,78.03,64,100,12.17,light rain
474,Cotonou,BJ,6.3654,2.4183,80.58,78,40,2.3,scattered clouds
475,Fort Nelson,CA,58.8053,-122.7002,63.99,32,75,3.44,broken clouds
476,Kefamenanu,ID,-9.4467,124.4781,67.21,94,42,3.22,scattered clouds
477,Morgan City,US,29.6994,-91.2068,84.2,54,1,13.78,clear sky
478,Stevens Point,US,44.5236,-89.5746,81.55,61,40,11.5,scattered clouds
479,Waddan,LY,29.1614,16.139,87.13,20,0,15.66,clear sky
480,Cockburn Town,TC,21.4612,-71.1419,78.76,73,75,11.5,broken clouds
481,Izhevsk,RU,56.85,53.2333,60.13,92,100,1.01,moderate rain
482,Puerto Madero,MX,14.7208,-92.4215,82.6,100,75,9.22,broken clouds
483,Beloha,MG,-25.1667,45.05,64.96,77,93,5.7,overcast clouds
484,Saint Anthony,US,45.0205,-93.218,83.25,68,75,1.99,broken clouds
485,Burnie,AU,-41.0667,145.9167,48.94,87,100,4.34,overcast clouds
486,High Rock,BS,26.6208,-78.2833,80.62,58,6,20.47,clear sky
487,Hendek,TR,40.7994,30.7481,53.92,91,47,4.25,scattered clouds
488,Saint-Georges,GD,12.0564,-61.7485,85.68,70,75,23.02,broken clouds
489,Bulawayo,ZW,-20.15,28.5833,54.37,81,0,12.71,clear sky
490,Hay River,CA,60.8156,-115.7999,64.38,25,75,17.27,broken clouds
491,Harlingen,US,26.1906,-97.6961,90.32,62,75,12.66,broken clouds
492,Deputatskiy,RU,69.3,139.9,23.88,96,98,4.65,overcast clouds
493,Taicheng,CN,38.731,113.228,51.67,61,100,7.05,overcast clouds
494,Moron,AR,-34.6534,-58.6198,58.89,94,100,14.23,moderate rain
495,Ola,RU,59.5833,151.2833,34.61,85,100,1.95,overcast clouds
496,Bambanglipuro,ID,-7.95,110.2833,76.21,90,100,3.09,overcast clouds
497,Stockerau,AT,48.383,16.1996,62.13,59,40,4.61,scattered clouds
498,Bukama,CD,-9.2,25.85,69.55,52,31,2.42,scattered clouds
499,Biu,NG,10.6129,12.1946,84.0,44,92,4.54,overcast clouds
500,Mount Isa,AU,-20.7333,139.5,65.97,48,0,4.61,clear sky
501,Kuruman,ZA,-27.4524,23.4325,50.18,27,0,8.75,clear sky
502,Gunjur,GM,13.2019,-16.7339,80.67,77,0,12.71,clear sky
503,Akyab,MM,20.15,92.9,83.71,77,100,3.09,overcast clouds
504,Sumbe,AO,-11.2061,13.8437,77.95,85,100,7.18,overcast clouds
505,Zabid,YE,14.1951,43.3152,91.62,49,10,4.97,clear sky
506,Terme,TR,41.2092,36.9739,60.73,93,100,11.39,light rain
507,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,77,20,21.77,few clouds
508,Quixeramobim,BR,-5.1992,-39.2928,90.36,41,76,4.81,broken clouds
509,Mujiayingzi,CN,42.1167,118.7833,56.59,56,100,15.5,moderate rain
510,Sandy Bay,AU,-42.913,147.3532,54.3,91,40,2.66,scattered clouds
511,Illapel,CL,-31.6308,-71.1653,67.15,26,0,4.16,clear sky
512,Severo-Yeniseyskiy,RU,60.3725,93.0408,39.04,87,100,8.5,overcast clouds
513,Poltavka,RU,54.3663,71.7632,71.8,34,74,9.71,broken clouds
514,Monster,NL,52.0258,4.175,52.02,88,75,3.0,broken clouds
515,Cayenne,GF,4.9333,-52.3333,86.04,83,75,5.01,broken clouds
516,Awbari,LY,26.5921,12.7805,94.01,8,0,10.8,clear sky
517,Trofors,NO,65.5333,13.4063,49.35,62,96,6.11,overcast clouds
518,Salalah,OM,17.0151,54.0924,84.29,84,20,4.61,few clouds
519,Dhidhdhoo,MV,6.8833,73.1,83.14,80,100,21.68,overcast clouds
520,Kalaleh,IR,37.3807,55.4916,76.6,61,0,0.0,clear sky
521,High Level,CA,58.5169,-117.136,62.71,28,75,10.11,broken clouds
522,Mamou,GN,10.5,-12.0,79.93,67,100,4.29,overcast clouds
523,Neiafu,TO,-18.65,-173.9833,77.68,94,75,5.75,light rain
524,Port Hedland,AU,-20.3167,118.5667,64.45,63,0,4.61,clear sky
525,Pierre,US,44.3683,-100.351,54.52,76,90,9.22,overcast clouds
526,Caloundra,AU,-26.8,153.1333,61.12,80,30,11.5,scattered clouds
527,Nizhniy Kuranakh,RU,58.8353,125.4869,32.09,75,100,0.74,overcast clouds
528,Saint George,US,37.1041,-113.5841,70.27,17,1,3.0,clear sky
529,Leshukonskoye,RU,64.8989,45.7622,52.54,61,93,7.72,overcast clouds
530,Lixourion,GR,38.2019,20.4314,64.26,72,0,3.83,clear sky
531,Voskresenskoye,RU,56.8381,45.4317,51.51,68,53,2.73,broken clouds
532,Riyadh,SA,24.6877,46.7219,100.45,7,0,0.0,clear sky
533,Rudbar,AF,30.15,62.6,84.7,11,0,17.18,clear sky
534,Cidreira,BR,-30.1811,-50.2056,68.38,75,57,11.88,broken clouds
535,Tiznit,MA,29.5833,-9.5,81.59,35,35,6.4,scattered clouds
536,Okha,RU,53.5739,142.9478,34.93,97,97,5.06,overcast clouds
537,Malyye Derbety,RU,47.9547,44.6808,74.55,56,100,16.78,overcast clouds
538,Owando,CG,-0.4819,15.8999,72.25,95,95,0.6,overcast clouds
539,Opotiki,NZ,-38.0833,177.2833,59.38,79,100,13.65,overcast clouds
540,Maridi,SS,4.9158,29.4742,69.62,97,89,5.01,light rain
541,Denpasar,ID,-8.65,115.2167,80.26,82,20,4.54,few clouds
542,Southbridge,US,42.0751,-72.0334,89.26,39,100,1.01,overcast clouds
543,Ponferrada,ES,42.5466,-6.5962,60.82,40,92,8.01,overcast clouds
544,Kargasok,RU,59.0556,80.8572,59.38,80,13,9.35,few clouds
545,Port Barton,PH,10.4756,119.2472,78.57,89,100,1.68,overcast clouds
546,Parry Sound,CA,45.3501,-80.033,66.87,88,100,6.53,overcast clouds
547,Totness,SR,5.8833,-56.3167,80.19,88,100,11.25,overcast clouds
548,Dori,BF,14.0354,-0.0345,100.0,22,80,8.3,broken clouds
549,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,71,100,7.49,overcast clouds
550,Brightwater,NZ,-41.3833,173.1167,47.1,93,100,3.98,overcast clouds
551,Palatka,US,29.6486,-81.6376,87.6,33,71,11.5,broken clouds
552,Cabedelo,BR,-6.9811,-34.8339,84.87,73,0,13.27,clear sky
553,Klyuchi,RU,52.2667,79.1667,64.54,59,39,8.39,scattered clouds
554,Zhanaozen,KZ,43.3,52.8,87.75,13,0,24.47,clear sky
555,Yar-Sale,RU,66.8333,70.8333,60.62,59,100,15.97,overcast clouds
556,Batticaloa,LK,7.7102,81.6924,83.5,71,100,2.77,overcast clouds
557,Karlstad,SE,59.3793,13.5036,54.16,77,51,4.59,broken clouds
558,Windsor,CA,42.3001,-83.0165,84.72,53,90,10.36,overcast clouds
559,Chirongui,YT,-12.9319,45.1483,78.73,67,15,15.17,few clouds
560,Nouadhibou,MR,20.931,-17.0347,71.58,78,0,17.27,clear sky
561,Puerto Colombia,CO,10.9878,-74.9547,87.89,78,100,19.6,overcast clouds
562,Pochutla,MX,15.7432,-96.4661,93.81,42,0,9.55,clear sky
563,Fuengirola,ES,36.54,-4.6247,81.68,58,0,6.76,clear sky
564,Butia,BR,-30.1197,-51.9622,63.41,68,42,10.8,scattered clouds
565,Wawa,NG,9.9022,4.4192,87.24,49,100,6.98,light rain
566,Man,CI,7.4125,-7.5538,81.3,66,60,2.46,broken clouds
567,Iskateley,RU,67.6803,53.1512,51.6,61,8,11.61,clear sky
568,Abnub,EG,27.2696,31.1511,80.82,23,0,21.0,clear sky
569,Thinadhoo,MV,0.5333,72.9333,84.16,73,31,13.0,scattered clouds
570,Asau,RO,46.4333,26.4,63.52,57,100,5.32,overcast clouds
571,Mayo,US,38.8876,-76.5119,91.81,40,1,8.99,clear sky
572,Najran,SA,17.4924,44.1277,86.65,13,3,3.49,clear sky
573,Oktyabrskoye,RU,43.0645,44.7417,68.14,97,90,3.15,overcast clouds
574,Yinchuan,CN,38.4681,106.2731,54.68,30,1,6.46,clear sky
575,Zhangye,CN,38.9342,100.4517,50.99,36,7,7.96,clear sky
576,College,US,64.8569,-147.8028,46.58,85,90,8.05,light rain
577,Sosua,DO,19.7667,-70.5167,87.53,70,75,13.8,broken clouds
578,Ambon,ID,-3.6954,128.1814,77.14,85,40,9.37,scattered clouds
579,Soto La Marina,MX,23.7667,-98.2167,90.77,34,5,11.45,clear sky
580,Mayya,RU,61.7333,130.2811,34.92,74,0,3.98,clear sky
581,Byron Bay,AU,-28.65,153.6167,62.55,85,70,7.78,broken clouds
582,Dunmore Town,BS,25.5,-76.65,75.76,62,0,19.04,clear sky
583,Gusau,NG,12.1628,6.6614,95.95,18,17,2.73,few clouds
584,Hvide Sande,DK,56.0045,8.1294,51.1,91,49,17.2,scattered clouds
585,Kambia,SL,9.1167,-12.9167,82.2,77,68,9.66,light rain
586,Wanning,CN,18.8003,110.3967,81.0,92,65,7.54,broken clouds
587,Lae,PG,-6.7221,146.9847,75.22,86,95,6.04,overcast clouds
588,Iberia,US,29.9502,-91.7507,85.1,70,75,11.27,broken clouds
589,Luganville,VU,-15.5333,167.1667,74.05,77,75,5.28,broken clouds
590,Yumen,CN,40.2833,97.2,47.68,26,1,3.67,clear sky
591,Nizwa,OM,22.9333,57.5333,93.79,15,72,4.99,broken clouds
592,Broken Hill,AU,-31.95,141.4333,46.11,57,1,4.61,clear sky
593,Santa Rosa,PH,14.3122,121.1114,84.18,83,41,1.39,scattered clouds
594,Hami,CN,42.8,93.45,57.81,18,0,11.3,clear sky
595,Atasu,KZ,48.6814,71.6433,64.45,45,1,10.2,clear sky
596,Rauma,FI,61.1272,21.5113,46.44,76,64,6.08,broken clouds
597,Cairns,AU,-16.9167,145.7667,69.75,83,48,9.22,scattered clouds
598,Santa Maria,BR,-29.6842,-53.8069,63.7,67,75,13.09,broken clouds
599,Pontianak,ID,-0.0333,109.3333,76.98,97,90,3.51,moderate rain
600,Pangody,RU,65.85,74.4859,65.35,56,100,8.95,overcast clouds
601,Pacific Grove,US,36.6177,-121.9166,68.25,77,40,7.0,scattered clouds
602,Dossor,KZ,47.5272,52.9811,86.09,15,31,28.41,scattered clouds
603,Celestun,MX,20.8667,-90.4,85.05,66,98,6.96,overcast clouds
604,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,100,90,5.75,overcast clouds
605,Sicuani,PE,-14.2694,-71.2261,61.14,31,0,8.55,clear sky
606,Yeppoon,AU,-23.1333,150.7333,60.58,86,96,13.47,overcast clouds
607,Mavrovi Anovi,MK,41.7025,20.7564,55.53,75,41,6.55,scattered clouds
608,Poum,NC,-20.2333,164.0167,72.82,73,21,16.04,few clouds
609,Torbay,CA,47.6666,-52.7314,66.97,39,75,26.46,broken clouds
610,Butajira,ET,8.1167,38.3667,64.54,46,13,4.79,few clouds
611,Sobolevo,RU,54.4299,31.8996,54.75,83,34,13.09,scattered clouds
612,Mayumba,GA,-3.432,10.6554,78.69,85,99,5.46,overcast clouds
613,Kloulklubed,PW,7.0419,134.2556,75.7,74,100,3.98,overcast clouds
614,Pirajui,BR,-21.9986,-49.4572,67.51,49,96,7.34,moderate rain
615,Jodar,ES,37.8406,-3.3526,76.53,25,100,5.14,overcast clouds
616,Floresta,BR,-8.6011,-38.5686,86.67,46,71,22.17,broken clouds
617,Bereda,ES,43.2686,-7.5406,57.58,65,6,5.26,clear sky
618,Emba,KZ,48.8264,58.1442,73.27,28,0,8.68,clear sky
619,Camopi,GF,3.1655,-52.3158,81.1,89,66,3.78,broken clouds
620,Matara,LK,5.9485,80.5353,80.33,87,100,10.45,overcast clouds
621,Berlevag,NO,70.8578,29.0864,34.03,60,100,22.77,overcast clouds
622,San Juan,AR,-31.5375,-68.5364,61.74,25,0,5.26,clear sky
623,Esmeraldas,BR,-19.7625,-44.3139,87.91,36,100,4.23,overcast clouds
624,Kruisfontein,ZA,-34.0033,24.7314,53.89,67,70,4.34,broken clouds
625,Talaya,RU,61.3833,152.75,33.3,76,100,4.81,overcast clouds
626,Avera,US,33.194,-82.5271,85.95,35,85,4.41,overcast clouds
627,Dudinka,RU,69.4058,86.1778,34.65,98,100,14.65,overcast clouds
628,Atlantic Beach,US,30.3344,-81.3987,86.04,57,1,3.0,clear sky
629,Shenjiamen,CN,29.9576,122.298,65.05,88,100,9.1,overcast clouds
630,Balykshi,KZ,47.0667,51.8667,93.2,10,0,17.9,clear sky
631,Upington,ZA,-28.4478,21.2561,57.58,38,0,2.3,clear sky
632,Kaeo,NZ,-35.1,173.7833,57.33,85,100,15.1,overcast clouds
633,Lakatoro,VU,-16.0999,167.4164,73.26,72,50,6.58,scattered clouds
634,Kayerkan,RU,69.3497,87.7602,34.47,93,100,6.93,overcast clouds
635,Viedma,AR,-40.8135,-62.9967,56.93,66,100,4.94,light rain
636,Huarmey,PE,-10.0681,-78.1522,70.5,69,3,9.64,clear sky
637,Bud,US,39.447,-86.1758,84.67,57,100,8.88,overcast clouds
638,Morehead,US,37.2711,-87.1764,86.86,38,75,1.01,broken clouds
639,Panguna,PG,-6.3164,155.4848,68.31,96,100,2.1,overcast clouds
640,Ziro,IN,27.6333,93.8333,57.38,96,57,1.54,broken clouds
641,Pundaguitan,PH,6.3711,126.1689,81.23,78,86,2.8,heavy intensity rain
642,El Tigre,VE,8.8875,-64.2454,86.99,48,84,12.26,broken clouds
643,Kaseda,JP,31.4167,130.3167,59.85,82,0,5.01,clear sky
644,Mikuni,JP,36.2171,136.1519,62.51,85,74,7.4,broken clouds
645,Zemio,CF,5.0314,25.1361,72.54,88,100,1.19,overcast clouds
646,Chinsali,ZM,-10.5414,32.0816,57.97,61,0,5.75,clear sky
647,Serowe,BW,-22.3833,26.7167,57.27,72,0,5.95,clear sky
648,Shubarshi,KZ,48.5872,57.1869,73.0,26,1,8.32,clear sky
649,Nuevo Progreso,MX,23.1667,-97.95,93.6,50,4,12.03,clear sky
650,Mitsamiouli,KM,-11.3847,43.2844,78.89,66,49,10.07,scattered clouds
651,Demirci,TR,39.0461,28.6589,51.03,72,0,5.75,clear sky
652,Dawlatabad,AF,36.4141,64.9053,76.48,13,0,1.88,clear sky
653,Terrace,CA,54.5163,-128.6035,55.31,71,75,6.91,broken clouds
654,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,67,0,4.61,clear sky
655,Strezhevoy,RU,60.7333,77.5889,64.38,59,6,11.34,clear sky
656,Betma,IN,22.6833,75.6167,80.82,33,40,4.47,scattered clouds
657,Ati,TD,13.2154,18.3353,93.36,21,6,5.44,clear sky
658,Raudeberg,NO,61.9875,5.1352,52.47,86,83,6.44,broken clouds
659,Pizhma,RU,57.8642,47.1171,50.67,70,4,5.08,clear sky
660,Garmsar,IR,35.2182,52.3409,85.6,21,100,6.55,overcast clouds
661,Roald,NO,62.5833,6.1333,64.45,71,40,18.41,scattered clouds
662,Rey Bouba,CM,8.6724,14.1786,80.38,70,44,3.87,scattered clouds
663,Killam,CA,52.7834,-111.8518,58.59,30,4,9.22,clear sky
664,Komsomolskiy,UZ,40.4272,71.7189,77.72,27,100,13.8,overcast clouds
665,Staryy Nadym,RU,65.6118,72.6842,66.34,52,100,9.93,overcast clouds
666,The Valley,AI,18.217,-63.0578,87.66,70,75,16.11,broken clouds
667,Ardakan,IR,32.31,54.0175,89.98,11,7,3.96,clear sky
668,Gazanjyk,TM,39.2446,55.5154,88.29,13,0,13.56,clear sky
669,Udachnyy,RU,66.4167,112.4,30.56,81,86,5.68,overcast clouds
670,Langsa,ID,4.4683,97.9683,75.51,94,100,2.13,overcast clouds
671,Susangerd,IR,31.5608,48.1831,104.02,9,100,10.51,overcast clouds
672,Saravan,AM,39.7196,45.6483,68.65,72,100,5.3,overcast clouds
673,Dunedin,NZ,-45.8742,170.5036,44.8,84,0,4.0,clear sky
674,Marawi,PH,7.9986,124.2928,68.65,92,40,1.97,scattered clouds
675,Muzhi,RU,65.3667,64.6667,62.71,56,91,12.66,overcast clouds
676,Samarai,PG,-10.6167,150.6667,79.05,77,61,17.87,broken clouds
677,Portland,US,45.5234,-122.6762,60.64,76,90,1.01,overcast clouds
678,Jaisalmer,IN,26.9147,70.9181,76.75,61,100,23.26,heavy intensity rain
679,Warmbad,NA,-28.45,18.7333,60.44,26,10,11.9,clear sky
680,Saint-Augustin,CA,51.226,-58.6502,39.49,97,100,14.34,overcast clouds
681,Qeshm,IR,26.9581,56.2719,87.69,76,63,4.36,broken clouds
682,Salaga,GH,8.5508,-0.5188,76.53,84,98,16.87,moderate rain
683,Mian Channun,PK,30.44,72.3543,81.97,37,100,6.22,overcast clouds
684,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,67,40,11.56,scattered clouds
685,Castanos,MX,26.7833,-101.4167,85.96,39,0,6.26,clear sky
686,Sept-Iles,CA,50.2001,-66.3821,68.52,88,75,9.22,broken clouds
687,Gweru,ZW,-19.45,29.8167,54.46,75,0,11.97,clear sky
688,Saeby,DK,57.3319,10.5225,52.97,91,100,15.68,overcast clouds
689,Banyo,CM,6.75,11.8167,67.48,94,89,4.16,light rain
690,Phatthalung,TH,7.5,100.0833,77.34,88,100,4.61,light rain
691,Hervey Bay,AU,-25.2986,152.8535,65.03,92,83,3.0,broken clouds
692,Great Yarmouth,GB,52.6083,1.7305,53.46,86,98,4.14,overcast clouds
693,Lahad Datu,MY,5.0268,118.327,75.74,95,100,5.57,overcast clouds
694,Kasongo-Lunda,CD,-6.4667,16.8167,73.98,56,100,1.97,overcast clouds
695,Coihaique,CL,-45.5752,-72.0662,53.55,58,75,4.61,broken clouds
696,Tulare,US,36.2666,-118.8009,63.75,31,72,1.01,broken clouds
