,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Quartucciu,IT,39.2519,9.1794,78.98,54,0,7.23,clear sky
111,Gobabis,NA,-22.45,18.9667,59.09,34,0,9.69,clear sky
112,Puri,IN,19.8,85.85,85.37,80,100,6.69,overcast clouds
113,Ambatolampy,MG,-19.3833,47.4167,53.37,98,11,3.6,few clouds
114,Winnemucca,US,40.973,-117.7357,42.85,62,90,6.53,overcast clouds
115,Awjilah,LY,29.1081,21.2869,80.22,16,0,8.43,clear sky
116,Uzunovo,RU,54.5386,38.6173,53.01,80,82,6.8,broken clouds
117,Palana,RU,59.1167,159.9667,31.48,93,98,4.61,overcast clouds
118,Waipawa,NZ,-41.4122,175.5153,50.63,76,100,7.99,overcast clouds
119,Santa Maria Do Suacui,BR,-18.1903,-42.4142,85.01,42,19,3.04,few clouds
120,Bedele,ET,8.456,36.353,60.51,75,21,3.38,few clouds
121,Nkowakowa,ZA,-23.8878,30.2871,57.25,76,78,3.53,broken clouds
122,Mount Gambier,AU,-37.8333,140.7667,48.11,71,100,10.36,overcast clouds
123,Severnyy-Kospashskiy,RU,59.0925,57.8008,58.6,95,99,7.96,overcast clouds
124,Suixi,CN,33.8907,116.7747,68.68,79,98,6.87,light rain
125,Camacha,PT,33.0833,-16.3333,64.53,63,40,20.71,scattered clouds
126,Vaini,TO,-21.2,-175.2,75.36,100,75,2.3,light rain
127,Norman Wells,CA,65.282,-126.8329,57.24,51,90,4.61,light rain
128,Kirakira,SB,-10.4544,161.9205,79.29,87,100,8.5,overcast clouds
129,Tiarei,PF,-17.5333,-149.3333,80.62,77,21,16.04,few clouds
130,Lorengau,PG,-2.0226,147.2712,81.03,80,95,6.02,overcast clouds
131,Egvekinot,RU,66.3167,-179.1667,28.56,94,100,2.8,overcast clouds
132,Coquimbo,CL,-29.9533,-71.3436,67.73,50,0,9.04,clear sky
133,Valley City,US,46.9233,-98.0032,50.99,100,90,12.66,overcast clouds
134,Alice Springs,AU,-23.7,133.8833,47.75,48,88,6.76,overcast clouds
135,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,0,10.36,clear sky
136,Puerto Escondido,MX,15.85,-97.0667,90.43,70,1,3.44,clear sky
137,New Glasgow,CA,45.5834,-62.6486,58.78,92,100,15.88,light rain
138,Bengkulu,ID,-3.8004,102.2655,76.53,83,97,2.77,overcast clouds
139,Adre,TD,13.4667,22.2,90.27,10,0,14.79,clear sky
140,Vagay,RU,57.9375,69.0217,64.69,57,89,5.59,overcast clouds
141,Nalut,LY,30.3333,10.85,89.83,12,0,9.62,clear sky
142,Lovozero,RU,68.005,35.0117,31.01,97,100,16.02,light snow
143,Leh,IN,34.1667,77.5833,44.22,44,26,1.39,scattered clouds
144,Bamnet Narong,TH,15.4992,101.6897,80.13,69,6,12.01,clear sky
145,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,85.37,74,64,5.3,moderate rain
146,Altay,CN,47.8667,88.1167,46.78,45,45,4.29,scattered clouds
147,Victoria,HK,22.2855,114.1577,86.32,83,100,5.99,overcast clouds
148,Truro,GB,50.2653,-5.0544,52.56,73,40,10.76,scattered clouds
149,Karratha,AU,-20.7377,116.8463,71.29,44,3,7.07,clear sky
150,Qaanaaq,GL,77.484,-69.3632,29.17,66,88,2.1,overcast clouds
151,Mantua,IT,45.1667,10.7833,68.32,69,88,3.0,overcast clouds
152,Faanui,PF,-16.4833,-151.75,81.23,74,18,14.23,few clouds
153,Sri Madhopur,IN,27.4667,75.6,84.36,35,0,14.14,clear sky
154,Freeport,US,40.6576,-73.5832,93.18,33,1,5.01,clear sky
155,Cape Town,ZA,-33.9258,18.4232,55.11,57,0,6.02,clear sky
